Press militar | Shoulders
Triceps Pushdown Mach. | Arms
Fondos paralelas | Arms
Dips | Arms
Fondos banco | Arms
Bench Dips | Arms
Curl spider inclinado | Arms
Incline Spider Curl | Arms
Curl predicador mancuerna | Arms
Single DB Preacher Curl | Arms
Reverse Curl | Arms
Zottman Curl | Arms
21s | Arms
Drag Curl | Arms
Pinwheel Curl | Arms
Towel Curl | Arms
Skull Crusher | Arms
Tate Press | Arms
JM Press | Arms
French Press | Arms
Lying Triceps Ext. | Arms
Reverse Grip Pushdown | Arms

Press de banca | Chest
Bench Press | Chest
Press inclinado | Chest
Incline Bench Press | Chest
Press declinado | Chest
Decline Bench Press | Chest
Dumbbell Bench Press | Chest
Aperturas mancuernas | Chest
Dumbbell Flyes | Chest
Aperturas máquina | Chest
Pec Deck Machine | Chest
Crossover polea | Chest
Cable Crossover | Chest
Press máquina pecho | Chest
Chest Press Machine | Chest
Pullover mancuerna | Chest
Dumbbell Pullover | Chest
Pullover máquina | Chest
Machine Pullover | Chest
Flexiones | Chest
Push-ups | Chest
Flexiones inclinadas | Chest
Incline Push-ups | Chest
Flexiones declinadas | Chest
Decline Push-ups | Chest
Flexiones diamante | Chest
Diamond Push-ups | Chest
Press máquina sentado | Chest
Seated Chest Press | Chest
Press máquina inclinado | Chest
Incline Chest Machine | Chest
Press máquina declinado | Chest
Decline Chest Machine | Chest
Flexiones explosivas | Chest
Clap Push-ups | Chest
Guillotine Press | Chest
Neck Press | Chest
Svend Press | Chest
Plate Press-out | Chest
Single-arm Chest Press | Chest
Plyometric Push-up | Chest
Spoto Press | Chest
Floor Press | Chest
Reverse Grip Bench Press | Chest

Dominadas | Back
Pull-ups | Back
Chin-ups | Back
Jalón al pecho | Back
Lat Pulldown | Back
Jalón tras nuca | Back
Behind Neck Pulldown | Back
Remo con barra | Back
Barbell Row | Back
Remo mancuerna | Back
Dumbbell Row | Back
Remo en máquina | Back
Seated Row Machine | Back
Remo polea baja | Back
Low Cable Row | Back
Remo en T | Back
T-Bar Row | Back
Pullover polea alta | Back
Straight Arm Pulldown | Back
Peso muerto | Back
Deadlift | Back
P. muerto rumano | Back
Romanian Deadlift | Back
P. muerto piernas rígidas | Back
Stiff-leg Deadlift | Back
Extensiones espalda | Back
Back Extensions | Back
Máquina espalda baja | Back
Lower Back Machine | Back
Máquina dorsales | Back
Lat Machine | Back
Remo invertido | Back
Inverted Row | Back
Jalón agarre estrecho | Back
Close-grip Pulldown | Back
Remo unilateral máq. | Back
Unilateral Machine Row | Back
Rack Pull | Back
Snatch Grip Deadlift | Back
Meadows Row | Back
Pendlay Row | Back
Seal Row | Back
Kroc Row | Back
Batwing Row | Back
Rev Grip Bent-over Row | Back
Chest-supported Row | Back

Crunch | Core
Crunch máquina | Core
Machine Crunch | Core
Elevación piernas | Core
Leg Raises | Core
Elevación colgado | Core
Hanging Leg Raises | Core
Plancha | Core
Plank | Core
Plancha lateral | Core
Side Plank | Core
Russian twist | Core
Cable Woodchopper | Core
Ab Wheel | Core
Ab Wheel Rollout | Core
Encogimientos inversos | Core
Reverse Crunch | Core
Bicycle Crunch | Core
Toes to bar | Core
L-Sit | Core
Crunch balón | Core
Medicine Ball Crunch | Core
V-ups | Core
Sit-up | Core
Mountain climbers | Core
Twist cable | Core
Cable Twist | Core
Encogimientos oblicuos | Core
Oblique Crunches | Core
Plancha elev. pierna | Core
Plank Leg Lift | Core
Dragon Flag | Core
Hanging Knee Raise | Core
Stir the Pot | Core
Pallof Press | Core
Supermans | Core
Windshield Wipers | Core
Hollow Body Hold | Core
Arch Body Hold | Core
Turkish Get-up | Core
Landmine 180 | Core

Sentadilla | Legs
Squat | Legs
Sentadilla frontal | Legs
Front Squat | Legs
Sentadilla hack | Legs
Hack Squat | Legs
Sentadilla barra guiada | Legs
Smith Machine Squat | Legs
Sentadilla sumo | Legs
Sumo Squat | Legs
Prensa piernas | Legs
Leg Press | Legs
Prensa inclinada | Legs
Incline Leg Press | Legs
Extensión piernas | Legs
Leg Extension | Legs
Curl femoral tumbado | Legs
Lying Leg Curl | Legs
Curl femoral sentado | Legs
Seated Leg Curl | Legs
Curl femoral de pie | Legs
Standing Leg Curl | Legs
Zancadas | Legs
Lunges | Legs
Zancadas caminando | Legs
Walking Lunges | Legs
Sentadilla búlgara | Legs
Bulgarian Split Squat | Legs
Step-ups | Legs
Nordic Curl | Legs
Wall sit | Legs
Hip thrust barra | Legs
Barbell Hip Thrust | Legs
Hip thrust máquina | Legs
Machine Hip Thrust | Legs
Puente glúteos | Legs
Glute Bridge | Legs
Máquina abductores | Legs
Abductor Machine | Legs
Máquina aductores | Legs
Adductor Machine | Legs
Elev. talones sentado | Legs
Seated Calf Raise | Legs
Elev. talones de pie | Legs
Standing Calf Raise | Legs
Sissy squat | Legs
P. muerto sumo | Legs
Sumo Deadlift | Legs
Jump squat | Legs
Sentadilla pausa | Legs
Pause Squat | Legs
Box Jump | Legs
Pistol Squat | Legs
Split Squat | Legs
Belt Squat | Legs
Trap Bar Deadlift | Legs
Good Morning | Legs
Single-leg Press | Legs
Donkey Calf Raise | Legs
Reverse Hyperext. | Legs
Frog Pump | Legs
Cable Pull Through | Legs
Kettlebell Swing | Legs
Snatch | Legs
Clean | Legs
Jerk | Legs
Overhead Squat | Legs
Front Rack Lunge | Legs
